	Exigl1_AssemblyScaffolds.fasta
GF00000369	scaffold_1315
GF00000370	scaffold_1613
GF00000371	scaffold_1722
GF00000372	scaffold_726
GF00000373	scaffold_1686
GF00000374	scaffold_1626
GF00000375	scaffold_1662
GF00000376	scaffold_1576
GF00000377	scaffold_1403
GF00000378	scaffold_945
GF00000379	scaffold_1219
GF00000380	scaffold_1553
GF00000381	scaffold_420
GF00000382	scaffold_1448
GF00000383	scaffold_1105
GF00000384	scaffold_1689
GF00000385	scaffold_1664
GF00000386	scaffold_1421
GF00000387	scaffold_1409
GF00000388	scaffold_1297
GF00000389	scaffold_1558
GF00000390	scaffold_1683
GF00000391	scaffold_1090
GF00000392	scaffold_1013
GF00000393	scaffold_1705
GF00000394	scaffold_1280
GF00000395	scaffold_1410
GF00000396	scaffold_1568
GF00000397	scaffold_1426
GF00000398	scaffold_1126
GF00000399	scaffold_754
GF00000400	scaffold_1337
GF00000401	scaffold_1313
GF00000402	scaffold_1653
GF00000403	scaffold_1541
GF00000404	scaffold_1132
GF00000405	scaffold_1449
GF00000406	scaffold_1290
GF00000407	scaffold_1171
GF00000408	scaffold_1316
GF00000409	scaffold_1131
GF00000410	scaffold_1036
GF00000411	scaffold_1717
GF00000412	scaffold_1450
GF00000413	scaffold_1166
GF00000414	scaffold_1702
GF00000415	scaffold_777
GF00000416	scaffold_1590
GF00000417	scaffold_720
GF00000418	scaffold_1009
GF00000419	scaffold_1669
GF00000420	scaffold_1537
GF00000421	scaffold_1432
GF00000422	scaffold_1540
GF00000423	scaffold_1596
GF00000424	scaffold_1407
GF00000425	scaffold_1211
GF00000426	scaffold_1028
GF00000427	scaffold_1531
GF00000428	scaffold_1645
GF00000429	scaffold_865
GF00000430	scaffold_1185
GF00000431	scaffold_1217
GF00000432	scaffold_1292
GF00000433	scaffold_977
GF00000434	scaffold_1583
GF00000435	scaffold_1518
GF00000436	scaffold_1023
GF00000437	scaffold_1617
GF00000438	scaffold_1480
GF00000439	scaffold_1565
GF00000440	scaffold_1303
GF00000441	scaffold_1127
GF00000442	scaffold_1108
GF00000443	scaffold_1425
GF00000444	scaffold_1323
GF00000445	scaffold_1693
GF00000446	scaffold_1184
GF00000447	scaffold_1478
GF00000448	scaffold_709
GF00000449	scaffold_1543
GF00000450	scaffold_1636
GF00000451	scaffold_1696
GF00000452	scaffold_1554
GF00000453	scaffold_1695
GF00000454	scaffold_1476
GF00000455	scaffold_978
GF00000456	scaffold_1321
GF00000457	scaffold_1260
GF00000458	scaffold_975
GF00000459	scaffold_1697
GF00000460	scaffold_1374
GF00000461	scaffold_1212
GF00000462	scaffold_1562
GF00000463	scaffold_1396
GF00000464	scaffold_1688
GF00000465	scaffold_1377
GF00000466	scaffold_1515
GF00000467	scaffold_1574
GF00000468	scaffold_1687
GF00000469	scaffold_1512
GF00000470	scaffold_1632
GF00000471	scaffold_1162
GF00000472	scaffold_1233
GF00000473	scaffold_1473
GF00000474	scaffold_1643
GF00000475	scaffold_1637
GF00000476	scaffold_844
GF00000477	scaffold_1492
GF00000478	scaffold_821
GF00000479	scaffold_1656
GF00000480	scaffold_1413
GF00000481	scaffold_1232
GF00000482	scaffold_1666
GF00000483	scaffold_1100
GF00000484	scaffold_1718
GF00000485	scaffold_924
GF00000486	scaffold_1606
GF00000487	scaffold_1470
GF00000488	scaffold_1719
GF00000489	scaffold_1180
GF00000490	scaffold_1557
GF00000491	scaffold_1003
GF00000492	scaffold_1549
GF00000493	scaffold_1721
GF00000494	scaffold_1263
GF00000495	scaffold_1383
GF00000496	scaffold_1130
GF00000497	scaffold_1575
GF00000498	scaffold_1505
GF00000499	scaffold_1635
GF00000500	scaffold_1649
GF00000501	scaffold_1600
GF00000502	scaffold_1544
GF00000503	scaffold_1087
GF00000504	scaffold_877
GF00000505	scaffold_1244
GF00000506	scaffold_1712
GF00000507	scaffold_677
GF00000508	scaffold_1585
GF00000509	scaffold_1016
GF00000510	scaffold_1007
GF00000511	scaffold_1135
GF00000512	scaffold_1572
GF00000513	scaffold_1716
GF00000514	scaffold_1463
GF00000515	scaffold_1255
GF00000516	scaffold_1707
GF00000517	scaffold_1295
GF00000518	scaffold_1682
GF00000519	scaffold_968
