	Exigl1_AssemblyScaffolds.fasta
GF00000011	scaffold_105, scaffold_138, scaffold_366, scaffold_746, scaffold_470, scaffold_712, scaffold_935, scaffold_921, scaffold_1069, scaffold_1200, scaffold_1073, scaffold_1199, scaffold_1201
GF00000012	scaffold_9, scaffold_133, scaffold_202, scaffold_646, scaffold_608, scaffold_829, scaffold_632, scaffold_1035, scaffold_940, scaffold_1227, scaffold_958, scaffold_1354
GF00000013	scaffold_16, scaffold_485, scaffold_146, scaffold_598, scaffold_289, scaffold_245, scaffold_358, scaffold_514, scaffold_588, scaffold_955, scaffold_1093, scaffold_773
GF00000014	scaffold_6, scaffold_82, scaffold_190, scaffold_428, scaffold_410, scaffold_686, scaffold_846, scaffold_882, scaffold_1083, scaffold_1386, scaffold_1542, scaffold_1675
GF00000015	scaffold_25, scaffold_249, scaffold_306, scaffold_563, scaffold_572, scaffold_527, scaffold_659, scaffold_937, scaffold_807, scaffold_976, scaffold_1620, scaffold_1551
GF00000016	scaffold_28, scaffold_71, scaffold_69, scaffold_444, scaffold_496, scaffold_579, scaffold_645, scaffold_941, scaffold_909, scaffold_1142, scaffold_1495, scaffold_1678
GF00000017	scaffold_108, scaffold_235, scaffold_97, scaffold_417, scaffold_540, scaffold_650, scaffold_674, scaffold_708, scaffold_878, scaffold_1043, scaffold_1639, scaffold_1634
GF00000018	scaffold_61, scaffold_136, scaffold_288, scaffold_487, scaffold_635, scaffold_649, scaffold_811, scaffold_786, scaffold_1048, scaffold_1110, scaffold_1484, scaffold_1404
GF00000019	scaffold_173, scaffold_328, scaffold_503, scaffold_461, scaffold_411, scaffold_1058, scaffold_817, scaffold_902, scaffold_960, scaffold_1188, scaffold_1444, scaffold_1382
GF00000020	scaffold_260, scaffold_104, scaffold_76, scaffold_140, scaffold_127, scaffold_621, scaffold_231, scaffold_959, scaffold_982, scaffold_1657, scaffold_1548
GF00000021	scaffold_41, scaffold_141, scaffold_77, scaffold_354, scaffold_466, scaffold_798, scaffold_750, scaffold_748, scaffold_954, scaffold_1397, scaffold_1556
GF00000022	scaffold_278, scaffold_90, scaffold_525, scaffold_511, scaffold_484, scaffold_652, scaffold_792, scaffold_1002, scaffold_898, scaffold_1482, scaffold_1523
GF00000023	scaffold_280, scaffold_78, scaffold_471, scaffold_301, scaffold_551, scaffold_430, scaffold_406, scaffold_360, scaffold_569, scaffold_591, scaffold_1138
GF00000024	scaffold_248, scaffold_408, scaffold_415, scaffold_841, scaffold_832, scaffold_862, scaffold_1167, scaffold_1168, scaffold_1273, scaffold_1387, scaffold_1501
GF00000025	scaffold_27, scaffold_502, scaffold_583, scaffold_651, scaffold_486, scaffold_801, scaffold_837, scaffold_970, scaffold_1038, scaffold_1534
GF00000026	scaffold_14, scaffold_145, scaffold_265, scaffold_253, scaffold_128, scaffold_907, scaffold_1178, scaffold_1373, scaffold_1412, scaffold_1726
GF00000027	scaffold_24, scaffold_117, scaffold_268, scaffold_368, scaffold_550, scaffold_633, scaffold_851, scaffold_875, scaffold_1247, scaffold_1602
GF00000028	scaffold_170, scaffold_264, scaffold_294, scaffold_230, scaffold_389, scaffold_545, scaffold_815, scaffold_1252, scaffold_1117, scaffold_1331
GF00000029	scaffold_187, scaffold_554, scaffold_336, scaffold_251, scaffold_480, scaffold_523, scaffold_906, scaffold_1054, scaffold_1525, scaffold_1500
GF00000030	scaffold_143, scaffold_475, scaffold_207, scaffold_842, scaffold_796, scaffold_1097, scaffold_1253, scaffold_1057, scaffold_1216, scaffold_1725
GF00000031	scaffold_204, scaffold_185, scaffold_205, scaffold_387, scaffold_305, scaffold_721, scaffold_1146, scaffold_1420, scaffold_1445, scaffold_1509
GF00000032	scaffold_188, scaffold_307, scaffold_282, scaffold_1033, scaffold_631, scaffold_1398, scaffold_1391, scaffold_1418, scaffold_1209, scaffold_1511
GF00000033	scaffold_44, scaffold_121, scaffold_544, scaffold_489, scaffold_884, scaffold_553, scaffold_845, scaffold_1589, scaffold_1604
GF00000034	scaffold_165, scaffold_43, scaffold_414, scaffold_478, scaffold_432, scaffold_1406, scaffold_1441, scaffold_1261, scaffold_1312
GF00000035	scaffold_91, scaffold_507, scaffold_163, scaffold_342, scaffold_624, scaffold_1086, scaffold_914, scaffold_1004, scaffold_1327
GF00000036	scaffold_70, scaffold_151, scaffold_131, scaffold_309, scaffold_311, scaffold_541, scaffold_755, scaffold_1165, scaffold_1599
GF00000037	scaffold_515, scaffold_320, scaffold_379, scaffold_434, scaffold_813, scaffold_620, scaffold_1148, scaffold_1334, scaffold_1394
GF00000038	scaffold_221, scaffold_92, scaffold_298, scaffold_214, scaffold_585, scaffold_1047, scaffold_1490, scaffold_1629
GF00000039	scaffold_46, scaffold_198, scaffold_613, scaffold_529, scaffold_617, scaffold_943, scaffold_1332, scaffold_1416
GF00000040	scaffold_367, scaffold_255, scaffold_160, scaffold_552, scaffold_398, scaffold_661, scaffold_805, scaffold_901
GF00000041	scaffold_147, scaffold_279, scaffold_794, scaffold_893, scaffold_767, scaffold_956, scaffold_997, scaffold_1250
GF00000042	scaffold_196, scaffold_692, scaffold_504, scaffold_195, scaffold_576, scaffold_603, scaffold_872, scaffold_1395
GF00000043	scaffold_58, scaffold_192, scaffold_459, scaffold_722, scaffold_1046, scaffold_905, scaffold_950, scaffold_1402
GF00000044	scaffold_73, scaffold_126, scaffold_392, scaffold_543, scaffold_592, scaffold_810, scaffold_1014, scaffold_1107
GF00000045	scaffold_129, scaffold_100, scaffold_229, scaffold_618, scaffold_694, scaffold_854, scaffold_1419, scaffold_1539
GF00000046	scaffold_156, scaffold_751, scaffold_508, scaffold_814, scaffold_687, scaffold_556, scaffold_1005, scaffold_961
GF00000047	scaffold_517, scaffold_238, scaffold_932, scaffold_735, scaffold_1535, scaffold_1684, scaffold_1380, scaffold_1485
GF00000048	scaffold_178, scaffold_630, scaffold_1150, scaffold_743, scaffold_1176, scaffold_1393, scaffold_1503, scaffold_1647
GF00000049	scaffold_382, scaffold_599, scaffold_913, scaffold_818, scaffold_1175, scaffold_1392, scaffold_1423, scaffold_1301
GF00000050	scaffold_384, scaffold_691, scaffold_640, scaffold_1064, scaffold_803, scaffold_562, scaffold_986, scaffold_1241
